2024-05-23 22:20:51 eoracle-data-validator  | Starting data-validator 
2024-05-23 22:21:32 eoracle-data-validator  | <1> 2024-05-23T16:51:32.627Z info: stopping ethereum feed
2024-05-23 22:21:32 eoracle-data-validator  | <1> 2024-05-23T16:51:32.628Z info: Feed ethereum stopped
2024-05-23 22:21:32 eoracle-data-validator  | <1> 2024-05-23T16:51:32.657Z info: Starting ethereum feed
2024-05-23 22:21:32 eoracle-data-validator  | <1> 2024-05-23T16:51:32.657Z warn: pingInterval Timer already exists for ethereum when trying to start it
2024-05-23 22:21:32 eoracle-data-validator  | <1> 2024-05-23T16:51:32.657Z info: Finished initializing ethereum feed
2024-05-23 22:21:32 eoracle-data-validator  | JsonRpcProvider failed to detect network and cannot start up; retry in 1s (perhaps the URL is wrong or the node is not started)
2024-05-23 22:21:32 eoracle-data-validator  | <1> 2024-05-23T16:51:32.681Z error: cannot connect to ethereum, endpoint https://some.ethereum.rpc returned error Error: failed to bootstrap network detection (event="initial-network-discovery", info={ "error": { "code": "ENOTFOUND", "errno": -3008, "hostname": "some.ethereum.rpc", "syscall": "getaddrinfo" } }, code=NETWORK_ERROR, version=6.12.1)
2024-05-23 22:21:32 eoracle-data-validator  | <1> 2024-05-23T16:51:32.681Z info: restarting ethereum feed
2024-05-23 22:21:32 eoracle-data-validator  | <1> 2024-05-23T16:51:32.682Z info: stopping ethereum feed
2024-05-23 22:21:32 eoracle-data-validator  | <1> 2024-05-23T16:51:32.682Z info: Feed ethereum stopped
2024-05-23 22:21:32 eoracle-data-validator  | <1> 2024-05-23T16:51:32.937Z info: Connected to the RPC server: wss://rpc.testnet.eoracle.network/ws, nonce: 0, chainId: 424242, subscription result: 0xe9c94a9fd3b24ab2a5c7878faa6465ec
2024-05-23 22:21:32 eoracle-data-validator  | <1> 2024-05-23T16:51:32.987Z info: Validator restarts on events: OnConfigChange
2024-05-23 22:21:33 eoracle-data-validator  | <1> 2024-05-23T16:51:33.034Z info: Health endpoints are available through port: 10003
2024-05-23 22:21:33 eoracle-data-validator  | <1> 2024-05-23T16:51:33.034Z info: Prometheus metrics are available through port: 10004
2024-05-23 22:21:33 eoracle-data-validator  | <1> 2024-05-23T16:51:33.035Z info: Starting ethereum feed
2024-05-23 22:21:33 eoracle-data-validator  | <1> 2024-05-23T16:51:33.036Z warn: pingInterval Timer already exists for ethereum when trying to start it
2024-05-23 22:21:33 eoracle-data-validator  | <1> 2024-05-23T16:51:33.037Z info: Finished initializing ethereum feed
2024-05-23 22:21:33 eoracle-data-validator  | JsonRpcProvider failed to detect network and cannot start up; retry in 1s (perhaps the URL is wrong or the node is not started)
2024-05-23 22:21:33 eoracle-data-validator  | <1> 2024-05-23T16:51:33.059Z error: cannot connect to ethereum, endpoint https://some.ethereum.rpc returned error Error: failed to bootstrap network detection (event="initial-network-discovery", info={ "error": { "code": "ENOTFOUND", "errno": -3008, "hostname": "some.ethereum.rpc", "syscall": "getaddrinfo" } }, code=NETWORK_ERROR, version=6.12.1)
2024-05-23 22:21:33 eoracle-data-validator  | <1> 2024-05-23T16:51:33.060Z info: restarting ethereum feed
2024-05-23 22:21:33 eoracle-data-validator  | <1> 2024-05-23T16:51:33.060Z info: stopping ethereum feed
2024-05-23 22:21:33 eoracle-data-validator  | <1> 2024-05-23T16:51:33.061Z info: Feed ethereum stopped
2024-05-23 22:21:33 eoracle-data-validator  | <1> 2024-05-23T16:51:33.117Z info: starting kraken feed
2024-05-23 22:21:33 eoracle-data-validator  | <1> 2024-05-23T16:51:33.168Z error: cannot connect to kraken, endpoint wss://ws.kraken.com returned error Error: Client network socket disconnected before secure TLS connection was established
2024-05-23 22:21:33 eoracle-data-validator  | <1> 2024-05-23T16:51:33.169Z info: restarting kraken feed
2024-05-23 22:21:33 eoracle-data-validator  | <1> 2024-05-23T16:51:33.169Z info: stopping kraken feed
2024-05-23 22:21:33 eoracle-data-validator  | <1> 2024-05-23T16:51:33.169Z info: Feed kraken stopped
2024-05-23 22:21:36 eoracle-data-validator  | <1> 2024-05-23T16:51:36.195Z error: error while sending transaction 4f0d673cb8e35c673b0d19b042a6ec45b55ea886a2ab68dee2c46c34507af7b0 [nonce:0] :insufficient funds for gas * price + value, target block: 3408275
2024-05-23 22:21:37 eoracle-data-validator  | <1> 2024-05-23T16:51:37.049Z error: error while sending transaction 05b8e8544346bff82c3c9d86db20c9aaa6454fa113db3520e27681ee073f89cb [nonce:0] :insufficient funds for gas * price + value, target block: 3408276
2024-05-23 22:21:38 eoracle-data-validator  | <1> 2024-05-23T16:51:38.564Z error: error while sending transaction 590e4b3580bbbbb1f69d2e5f3a0d5bdfaa4e25f9fac9d1e9d4077699f4aaba8b [nonce:0] :insufficient funds for gas * price + value, target block: 3408277
2024-05-23 22:21:40 eoracle-data-validator  | <1> 2024-05-23T16:51:40.359Z error: error while sending transaction 234659cc572b16c3dd7aaf8058679404fd54e59b1836a74a6d120d1c22cd5d3f [nonce:0] :insufficient funds for gas * price + value, target block: 3408278
2024-05-23 22:21:42 eoracle-data-validator  | <1> 2024-05-23T16:51:42.109Z error: error while sending transaction 4aaa3b700440bf63ff346e7b4d869437c835f8694d3f487b5df01cf6c05d2dbd [nonce:0] :insufficient funds for gas * price + value, target block: 3408279
2024-05-23 22:21:42 eoracle-data-validator  | <1> 2024-05-23T16:51:42.590Z error: provider ethereum is closed. cannot send ping, provider state=undefined
2024-05-23 22:21:42 eoracle-data-validator  | <1> 2024-05-23T16:51:42.590Z info: restarting ethereum feed
